seqn,total_count
31743,2349367
31744,668214
31745,2724727
31747,1319303
31748,1440391
31749,3089879
31750,355390
31751,1253847
31753,3282893
31754,3903238
31756,776648
31757,1124328
31762,753332
31764,1990805
31765,1918198
31766,4615905
31767,334802
31768,2022190
31769,2400525
31771,1052212
31772,1882094
31778,1918808
31779,2881465
31780,2020853
31781,967000
31784,944776
31785,942873
31786,3386465
31787,2754805
31788,1200213
31789,1382615
31790,1571950
31792,3380565
31793,2527607
31795,1335993
31796,1416288
31799,1328702
31800,1311721
31801,653039
31802,1854637
31804,855070
31806,923315
31807,312159
31808,395262
31811,1581415
31813,687864
31814,2215094
31816,119422
31817,3282323
31819,2040415
31820,1699240
31821,1676405
31822,1837999
31823,3364327
31824,938487
31827,1237187
31828,2644431
31830,1388472
31831,1886561
31833,3897032
31835,1041617
31837,1220296
31838,1430730
31839,1428019
31843,1943367
31844,25817
31847,652636
31849,2564697
31850,3543109
31854,2950582
31855,1626154
31857,1860583
31858,765340
31859,3125604
31862,1394538
31863,524123
31864,1068897
31865,4082730
31866,984838
31868,328332
31870,344021
31871,590732
31872,27275
31873,1584317
31874,2014419
31877,857703
31878,2208705
31879,2681965
31884,1280810
31885,3370220
31886,3027454
31888,738798
31889,958611
31890,1089431
31893,891981
31894,1570767
31896,3067193
31897,254115
31898,1197869
31899,1731067
31903,1011213
31905,840760
31909,3854580
31912,2095966
31913,1883613
31914,3219463
31919,636737
31920,1482678
31922,1279155
31923,1219128
31924,1665177
31925,620456
31926,4609
31929,347386
31931,1027994
31932,2710532
31933,2763356
31934,1832950
31936,1231304
31937,1047689
31939,2567578
31940,3284327
31944,893173
31945,491349
31946,688302
31947,605217
31948,1937524
31949,5710554
31950,1471761
31951,616274
31952,6640566
31953,3064627
31957,849472
31958,1286988
31959,1988976
31960,3690666
31961,1405994
31962,1656032
31963,158321
31964,509757
31966,1257453
31967,1371700
31968,1005604
31969,2523798
31970,1227465
31971,459062
31972,556998
31973,1130284
31974,269738
31975,843106
31976,2165766
31977,1748301
31978,3796319
31979,2625262
31981,1919843
31982,2006348
31985,1056271
31986,2837368
31988,97693
31989,1296250
31990,266319
31991,1781381
31992,1135450
31993,1420262
31994,2209631
31995,1440293
31996,807353
31998,764131
32001,601225
32003,2132364
32004,2280173
32006,1387671
32007,1090045
32010,2284201
