seqn,weekday,avg_daily
31189,2,615.0384167636787
31189,3,609.837037037037
31189,4,594.46018735363
31189,5,577.0261437908497
31189,6,616.8264840182649
31189,7,413.9892665474061
31191,1,51.19834710743802
31191,2,206.8523489932886
31191,3,46.5
31191,4,198.79140328697852
31191,5,123.28706624605678
31191,6,235.84901531728664
31191,7,26.26086956521739
31194,1,180.89619047619047
31194,2,431.20636550308006
31194,3,120.39003250270856
31194,4,242.16996507566938
31194,5,356.22458628841605
31194,6,374.8134991119005
31194,7,155.117296222664
31195,1,278.51293103448273
31195,2,252.1379679144385
31195,3,302.6188436830835
31195,4,455.54794520547944
31195,5,370.1862433862434
31195,6,279.16210739614996
31195,7,608.8309178743962
31196,1,217.49003984063745
31196,2,156.1818181818182
31196,3,219.148623853211
31196,4,327.77660695468916
31196,5,355.8241895261845
31196,6,283.97447447447445
31196,7,209.16290726817041
31199,1,659.6255259467041
31199,2,987.8108407079646
31199,3,821.4619450317125
31199,4,956.7002487562189
31199,5,696.0584988962472
31199,6,388.92413793103447
31199,7,428.65803667745416
31201,1,289.9471766848816
31201,2,201.67341040462426
31201,3,293.62916666666666
31201,4,486.0371456500489
31201,5,335.9582850521437
31201,6,341.93031784841077
31201,7,481.5409356725146
31204,1,147.48205741626793
31204,2,294.7271897810219
31204,3,1799.6
31204,4,156.11581291759467
31204,6,306.0173646578141
31204,7,203.4047619047619
31206,1,324.2460850111857
31206,2,143.8041237113402
31206,3,258.7068965517241
31206,4,1194.3333333333333
31206,5,84.42788461538461
31206,6,1531
31206,7,729.6666666666666
31207,1,161.22958579881657
31207,2,344.18441971383146
31207,3,334
31207,4,64.07174887892377
31207,5,85.786866359447
31207,6,171.4988913525499
31207,7,111.01694915254237
31208,4,86.73170731707317
31208,5,11.605337078651685
31208,6,193.5625
31212,1,89.1131498470948
31212,3,83.84634146341463
31212,4,18.45201238390093
31212,5,26.102150537634408
31212,6,101.15690376569037
31212,7,27.25082508250825
31213,1,96.97767332549941
31213,2,135.36883116883118
31213,3,122.908
31213,4,106.60026737967914
31213,5,104.5613425925926
31213,6,150.3887399463807
31213,7,116.20179372197309
31214,2,71.77867528271406
31214,3,79.5120320855615
31214,4,143.33926302414233
31214,6,52.49186991869919
31214,7,160.35593220338984
31215,2,332.25
31215,3,421.9432098765432
31215,4,320.72140762463346
31215,5,401.0595238095238
31215,6,324.2601431980907
31215,7,668.0858725761773
31218,2,1204.8364312267659
31218,3,323.6
31218,4,559.0434227330779
31218,5,314.37558139534883
31218,7,566.3636363636364
31219,1,810.6448230668415
31219,2,368.9878048780488
31219,3,726.1467780429595
31219,4,957.8428390367554
31219,5,552.1902485659656
31219,6,517.6643356643357
31219,7,553.6708860759494
31220,1,289.98343373493975
31220,2,305.5991605456453
31220,3,234.863539445629
31220,4,375.6392405063291
31220,5,223
31220,6,247.13094170403588
31220,7,229.24261083743843
31221,1,321.5223880597015
31221,2,555.8469387755102
31221,3,1327.4234234234234
31221,4,512.6451048951049
31221,5,521.4695009242145
31223,1,287.9447640966628
31223,2,359.2527646129542
31223,3,573.8197146562906
31223,4,531.1212516297262
31223,5,453.0224215246637
31223,6,383.3876543209877
31223,7,564.7918604651163
31224,1,206
31224,2,363.9735772357724
31224,3,255.5360655737705
31224,4,800.3826638477801
31224,5,571.0940525587829
31224,6,365.45854657113614
31224,7,841.1944121071012
31225,4,375.6264855687606
31225,5,928.25
31225,6,1641
31226,1,2151
31226,6,81.71134020618557
31226,7,203.1174168297456
31227,1,286.0556818181818
31227,2,195.43071965628357
31227,3,369.7834951456311
31227,4,274.1354705274043
31227,5,168.60279441117765
31227,6,208.64013452914799
31227,7,276.28690228690226
31228,1,454.3068017366136
31228,2,888.1588541666666
31228,3,1465.3150134048258
31228,4,1312.791553133515
31228,5,1623.9830949284785
31228,6,343.21345407503236
31228,7,504.30832476875645
31231,1,156.1884892086331
31231,2,105.95551257253385
31231,3,329.0563063063063
31231,4,129.68267223382045
31231,5,197.77054263565893
31231,6,259.8073394495413
31231,7,99.05580693815988
31232,1,8
31232,2,393.11299435028246
31232,3,385.971875
31232,4,77.30625
31232,5,143.02678571428572
31232,7,383.4611764705882
31235,1,298.63309352517985
31235,2,438.3603411513859
31235,3,457.00727802037846
31235,4,189.98744769874477
31235,5,360.5
31235,6,501.9873949579832
31235,7,589.4794238683128
31237,1,687.9523269012486
31237,2,636.3210702341137
31237,3,727.6658415841584
31237,4,294.2299741602067
31237,5,676.3223495702006
31237,6,600.8702640642939
31237,7,572.227621483376
31238,1,1394.5201149425288
31238,2,624.0974576271186
31238,3,993.2299741602067
31238,4,977.5462753950338
31238,5,387.1696535244922
31238,6,432.21926910299004
31238,7,458.4331210191083
31239,1,291.63588850174216
31239,2,155.80872483221478
31239,3,73.08032128514056
31239,4,162.50522648083623
31239,5,333.40714285714284
31239,6,166.67862068965516
31239,7,284.19218241042347
31241,1,215.47240618101546
31241,2,490.21768707482994
31241,3,678.5522959183673
31241,4,634.5328542094455
31241,5,602.9690553745928
31241,6,177.27659574468086
31241,7,239.04434907010014
31242,1,142.84742268041236
31242,2,190.72709163346613
31242,3,140.57869249394673
31242,4,281.8407766990291
31242,5,110.9336143308746
31242,6,186.79396984924622
31244,1,587.0560398505604
31244,2,958.7529411764706
31244,3,717.9939698492462
31244,4,715.4565883554648
31244,5,558.9920870425321
31244,6,330.3718244803695
31244,7,521.9834951456311
31245,1,148.84174624829467
31245,2,182.0367775831874
31245,5,203.13545816733068
31245,6,176.27777777777777
31245,7,233.62745098039215
31246,1,213.23020527859236
31246,2,7.076023391812866
31246,3,463.4542157751587
31246,4,460.1335436382755
31246,5,509.23745173745175
31246,6,486.0406001765225
31246,7,170.0125
31248,2,1594.8974836905873
31248,3,78.48051948051948
31248,4,231
31248,5,702.8
31248,6,1113
31250,1,319.22425249169436
31250,2,376.2037037037037
31250,3,236.44978632478632
31250,4,45.64691358024692
31250,5,411.3374125874126
31250,6,287.5145502645503
31250,7,336.90871794871794
31252,1,310.1832167832168
31252,2,358.1957796014068
31252,3,190.1220556745182
31252,4,202.64957264957266
31252,5,173.60621761658032
31252,7,233.79748706577976
31255,1,399.62241887905606
31255,2,632.8753086419753
31255,3,596.4901477832512
31255,4,610.951724137931
31255,5,541.6707726763718
31255,6,359.55837563451774
31255,7,323.69109195402297
31258,1,318.63963963963965
31258,6,915.5610510046367
31258,7,137.20555555555555
31259,1,288.2238805970149
31259,2,345.3829787234043
31259,3,382.62020202020204
31259,4,762.130081300813
31259,5,303.9614711033275
31259,6,85.2595744680851
31259,7,214.43015521064302
31261,2,821
31261,3,348.92705570291776
31261,4,346.50082918739633
31261,5,14.553191489361701
31262,1,636
31262,2,432.31467661691545
31262,3,311.6202270381837
31262,4,305.204833141542
31262,5,478.1008130081301
31264,1,277.8809891808346
31264,2,379.048828125
31264,3,332.0975609756098
31264,4,351.75945945945944
31264,5,160.70081967213116
31264,6,235.07266009852216
31264,7,306.4695009242144
31265,1,478.8283166109253
31265,2,460.3445475638051
31265,3,384.6340782122905
31265,4,308.1686046511628
31265,5,356.41702127659573
31265,6,408.68142548596114
31265,7,126.2991452991453
31266,1,56.81946072684642
31266,2,55.28660049627791
31266,3,50.733955659276546
31266,4,91.96940024479804
31266,5,63.532467532467535
31266,6,58.141959798994975
31266,7,71.02732240437159
31267,1,551.4819427148194
31267,2,365.4258600237248
31267,3,465.26170798898073
31267,4,354.712
31267,5,225.68473609129813
31267,6,632.6544117647059
31267,7,334.458064516129
31268,1,361.7140902872777
31268,2,339.3861788617886
31268,3,541.3836824696803
31268,4,297.3632911392405
31268,5,368.70588235294116
31268,6,196.51500600240095
31268,7,250.16786226685795
31269,2,433.10192837465564
31269,4,1138
31270,1,117.36400541271989
31270,2,477.9967320261438
31270,3,442.9660297239915
31270,4,730.5902031063322
31270,5,682.0843373493976
31270,6,634.4910358565737
31270,7,831.7754385964912
31271,1,467
31271,2,641.2727272727273
31271,3,433.46058091286307
31271,4,194.20657276995306
31271,5,373.10743801652893
31271,6,2189
31271,7,308.0508474576271
31272,1,508.0977564102564
31272,2,926.4644351464435
31272,3,472.34335443037975
31272,4,618.4469214437368
31272,5,1045.2921225382931
31272,6,494.90297202797206
31272,7,327.56747404844293
31273,1,504.72176308539946
31273,2,240.44126074498567
31273,3,356.0635838150289
31273,4,245.11748381128584
31273,5,145.47277227722773
31273,6,310.91069459757443
31273,7,196.62333333333333
31274,1,171.73777315296567
31274,2,212.9943438914027
31274,3,204.29284164859
31274,4,239.75599582898852
31274,5,95.23809523809524
31274,6,241.6871111111111
31274,7,141.07564102564103
31275,1,183.30697674418604
31275,2,172.37740693196406
31275,3,165.39221140472878
31275,4,345.90024038461536
31275,5,226.89835164835165
31275,6,194.50351288056206
31275,7,285.20448877805484
31276,1,18.6974358974359
31276,2,19.228915662650603
31276,3,231.196875
31276,4,12.483333333333333
31276,5,23.731060606060606
31276,6,19.827205882352942
31276,7,22.350649350649352
31277,1,570.1864406779661
31277,2,253.29257142857142
31277,3,213.5515743756786
31277,4,266.26727066817665
31277,5,152.92513966480448
31277,6,300.3595744680851
31277,7,331.53207150368036
31278,1,242.87431091510473
31278,2,197.07322404371584
31278,3,189.15661375661375
31278,4,176.28601694915255
31278,5,172.76200640341514
31278,6,214.86111111111111
31278,7,235.44053398058253
31279,1,347.39412484700125
31279,2,405.0756578947368
31279,3,404.6443243243243
31279,4,314.48279457768507
31279,5,478.8929804372842
31279,6,347.26058631921825
31279,7,337.31857451403886
31284,1,54.87428571428571
31284,2,82.56796628029505
31284,3,77.72029102667744
31284,4,122.27102803738318
31284,5,73.69398340248962
31284,6,58.42916666666667
31284,7,79.40192926045016
31285,1,309.87714987714986
31285,2,255.5482180293501
31285,3,523.8611111111111
31285,4,223.89496717724288
31285,5,343.3805668016194
31285,6,277.728855721393
31285,7,146.35361653272102
31286,1,973.5
31286,2,439.4876140808344
31286,3,450.64366373902135
31286,4,466.22709163346616
31286,5,739.1670588235294
31286,7,785.7806788511749
31288,1,215.98456790123456
31288,2,328.41822173435787
31288,3,529.4654683065279
31288,4,357.88018979833925
31288,5,503.13314967860424
31288,6,281.10526315789474
31288,7,120.02093023255814
31289,1,303.83116883116884
31289,2,352.6088397790055
31289,3,427.0833333333333
31289,4,403.19662921348316
31289,5,512.0574712643678
31289,6,333.4825174825175
31289,7,127.64546684709066
31290,1,526.5178117048346
31290,2,455.0019550342131
31290,3,396.3401442307692
31290,4,395.5768194070081
31290,5,555.5678537054861
31290,6,623.2791411042945
31290,7,245.73493975903614
31291,1,235.39506172839506
31291,2,445.4
31291,3,244.24045801526717
31291,4,374.84389782403025
31291,5,406.70034843205576
31291,6,212.7128514056225
31292,1,393.1886574074074
31292,2,399.18569780853517
31292,3,284.875
31292,4,490.1383647798742
31292,5,440.0427927927928
31292,6,601.5088339222615
31292,7,540.1268656716418
31293,1,206
31293,2,129.46013986013986
31293,3,919.1481481481482
31293,4,607.4215686274509
31293,5,386.5033482142857
31293,6,321.3208852005533
31293,7,640.5007407407408
31295,1,209.5768348623853
31295,2,359.6455122393472
31295,3,230.75287797390638
31295,4,480.263695450325
31295,5,296.72475106685636
31295,6,248.79484425349088
31295,7,238.15923566878982
31297,1,63.85959885386819
31297,2,78.89518072289157
31297,3,61.81933842239186
31297,4,64.3296568627451
31297,5,71.68283093053735
31297,6,87.87136929460581
31297,7,69.14917127071823
31298,1,215.41823056300268
31298,2,179.981455064194
31298,3,192.80246913580248
31298,4,111.62666666666667
31298,5,217.80873362445413
31298,6,132.87834549878346
31298,7,136.5279069767442
31299,1,325.3949394939494
31299,2,252.7255369928401
31299,3,287.1490750816104
31299,4,495.6245283018868
31299,5,286.0154320987654
31299,6,332.1778487752929
31299,7,413.4645858343337
31300,1,415.1233532934132
31300,2,257.56418918918916
31300,3,358.11917098445593
31300,4,310.0674019607843
31300,5,214.88369304556355
31300,6,360.2926239419589
31300,7,501.87717265353416
31303,1,572.2765957446809
31303,2,155.28571428571428
31303,3,420
31303,4,241.43409742120343
31303,5,338.62138728323697
31303,6,231.04263093788063
31303,7,307.7917675544794
31304,1,356.9430894308943
31304,2,230.1891891891892
31304,3,448.2432432432432
31304,4,173.20266666666666
31304,5,279.4164305949009
31304,7,230.64541387024607
31305,1,370
31305,2,156.83870967741936
31305,3,251.4029075804777
31305,4,820.5445292620865
31305,5,329.49948186528496
31305,6,317.61266294227187
31305,7,98.27941176470588
31309,1,300.1736111111111
31309,2,124.79113448534936
31309,3,199.06521739130434
31309,4,244.04657179818886
31309,5,206.81057692307692
31309,6,178.79033649698016
31309,7,207.8360814742968
31310,1,148.58753709198814
31310,2,294.3021806853583
31310,3,257.68635875402794
31310,4,255.26395173453997
31310,5,297.5430711610487
31310,6,339.88737623762376
31310,7,244.69330855018586
31311,1,359.18686131386863
31311,2,420.81274900398404
31311,3,342.19283746556476
31311,4,179.2634989200864
31311,5,341.3489010989011
31311,6,667.398293029872
31311,7,429.1170212765957
31312,1,599.3713527851459
31312,2,444.9912536443149
31312,3,535.185606060606
31312,4,329.6129458388375
31312,5,311.0338028169014
31312,6,467.51585365853657
31312,7,722.3127962085308
31313,3,411.79744525547443
31313,4,103
31313,5,10.041666666666666
31313,6,5.660714285714286
31313,7,9.907563025210084
31314,1,216.89127324749643
31314,2,396.6573628488932
31314,3,304.91805555555555
31314,4,696.370430544273
31314,5,205.14407381121362
31314,6,292.1317365269461
31314,7,296.5853840417599
31316,1,460.91207627118644
31316,2,1527.234126984127
31316,3,1544
31316,6,452.1291291291291
31316,7,261.73848555815766
31317,1,129.46031746031747
31317,2,604.1
31317,4,519.024202420242
31317,5,420.9522727272727
31317,6,424.1646234676007
31317,7,27.06872852233677
31318,1,1549.6865443425077
31318,2,533.5213204951857
31318,3,554.2571103526735
31318,4,772.4664371772806
31318,5,767.4289473684211
31318,6,610.7564534231201
31318,7,1199.8338658146965
31319,1,580.2790697674419
31319,2,3820.75
31319,3,716.8041002277904
31319,4,112.33333333333333
31319,5,646.6977528089888
31319,6,703.9524336283185
31319,7,944.6006458557589
31320,1,440.4891710231516
31320,2,337.39427516158815
31320,3,283.95273818454615
31320,4,469.3601895734597
31320,5,515.551301684533
31320,6,259.55044699872286
31320,7,147.30483271375465
31321,1,108.20331950207469
31321,2,120.79069767441861
31321,3,95.67312661498708
31321,4,118.26632522407171
31321,5,125.15350877192982
31321,6,121.66329113924051
31321,7,177.19322459222082
31324,1,282.27536231884056
31324,2,698.6682926829268
31324,3,506.8212121212121
31324,4,558.9063509149623
31324,5,781.4411326378539
31324,6,748.0467914438502
31324,7,463.4497663551402
31325,1,315.2123745819398
31325,2,260.1019736842105
31325,3,128.8047690014903
31325,4,174.11315789473684
31325,5,124.99284862932062
31325,6,260.0328282828283
31325,7,156.3184438040346
31328,1,905.7056074766355
31328,2,507.33034825870647
31328,3,496.0798611111111
31328,4,612.2121212121212
31328,5,1000.3788748564868
31328,6,873.8714902807775
31328,7,880.0227272727273
31329,1,401.9425717852684
31329,2,567.3661202185792
31329,3,207.14851485148515
31329,4,219.90731070496085
31329,5,480.4968253968254
31329,6,458.30731707317074
31329,7,341.61051212938
31330,1,110.2462962962963
31330,2,95.16024653312789
31330,3,603.5728429985855
31330,4,464.7011494252874
31330,5,586.4253835425384
31330,6,556.4037267080745
31330,7,126.23364485981308
31331,2,678.3688016528926
31331,3,574.688605108055
31331,4,808.3366555924696
31331,5,853.5295358649789
31331,6,563.4129301355579
31331,7,1105
31332,1,120.61158798283262
31332,2,165.4787234042553
31332,3,190.1246943765281
31332,4,178.18501529051989
31332,5,150.6328903654485
31332,6,185.74486803519062
31332,7,358.62540716612375
31333,1,499.02736842105264
31333,2,831.5701492537313
31333,3,370.00554528650645
31333,4,537.1478770131772
31333,5,317.96747114375654
31333,6,381.17594654788417
31333,7,476.69456681350954
31334,1,79.41336353340883
31334,2,101.01246105919003
31334,3,127.12841091492777
31334,4,195.8367791077258
31334,5,224.04551045510456
31334,6,193.82002706359947
31334,7,117.05521472392638
31336,1,256.5511221945137
31336,2,269.9010654490107
31336,3,302.8152400835073
31336,4,162.7173579109063
31336,5,242.41995841995842
31336,6,234.41044776119404
31336,7,239.33687405159333
31337,1,566.1318373071529
31337,2,431.5301775147929
31337,3,314.0320733104238
31337,4,388.50411280846066
31337,5,239.27294398092968
31337,6,258.2854006586169
31337,7,351.4825
31339,1,143.8126582278481
31339,2,147.75307262569834
31339,3,103.49934469200524
31339,4,128.6076923076923
31339,5,90.79555555555555
31339,6,118.55347593582887
31339,7,94.97396963123644
31341,1,80.5
31341,2,120.44458281444582
31341,3,443.4394366197183
31341,4,403.2561629153269
31341,5,405.46118721461187
31341,6,850.9621342512909
31341,7,267.39794871794874
31342,1,974.2433936022253
31342,2,687.2535211267606
31342,3,492.6196636481242
31342,4,606.5394594594594
31342,5,449.33624878522835
31342,7,457.76545166402536
31343,1,67.8246828143022
31343,2,85.98451327433628
31343,3,200.271875
31343,4,81.0910290237467
31343,5,89.60136286201022
31343,6,98.01446480231436
31343,7,80.47734627831716
31344,1,304.8581395348837
31344,2,489.66112956810633
31344,3,380.5069817400645
31344,4,322.11578947368423
31344,5,287.0618336886994
31344,6,240.0851305334847
31344,7,228.59920634920636
31345,1,258.7796052631579
31345,2,189.76463560334528
31345,3,223.70406905055486
31345,4,161.58632676709155
31345,5,252.15192507804372
31345,6,335.9543899657925
31345,7,287.3054919908467
31346,1,576.1071428571429
31346,2,25.676470588235293
31346,3,437.24944320712694
31346,4,286.07426160337553
31346,5,107.1734693877551
31346,6,710.8402366863905
31346,7,36.20618556701031
31348,1,125.41242937853107
31348,2,377.3197781885397
31348,3,322.10348468848997
31348,4,338.95022123893807
31348,5,239.7544757033248
31348,6,299.4092715231788
31348,7,211.2334536702768
31350,1,289.45169712793734
31350,2,214.0705725699068
31350,3,176.88137755102042
31350,4,192.44460641399417
31350,5,272.30249110320284
31350,6,136.68620689655174
31350,7,374.2371428571429
31351,1,630.6104294478528
31351,2,2555.5616605616606
31351,3,598.856259659969
31351,4,586.9685863874346
31351,5,554.2905296950241
31351,6,308.62593144560356
31351,7,1135.336747759283
31352,1,437.6368778280543
31352,2,240.59450457951706
31352,3,28.143187066974598
31352,4,271.2293423271501
31352,5,80.36363636363636
31352,7,604
31353,5,3144
31358,1,104.64944649446494
31358,2,94.53759011328528
31358,3,263.2215320910973
31358,4,320.0853769300636
31358,5,182.71406127258444
31358,6,215.49136442141622
31358,7,202.36065573770492
31360,1,478.5443213296399
31360,2,342.29522431259045
31360,3,422.12841091492777
31360,4,296.6282327586207
31360,5,232.9448669201521
31360,6,193.37565445026178
31361,1,19.343173431734318
31361,2,25.21518987341772
31361,3,39.21649484536083
31361,4,25.963963963963963
31361,5,30.610441767068274
31361,6,35.910828025477706
31361,7,88.49034749034749
31362,1,263.0211038961039
31362,2,689.0331753554502
31362,3,1096.4820846905538
31362,4,281.88709677419354
31362,5,627.272030651341
31362,6,227.67857142857142
31362,7,359.1323792486583
31364,1,977.1029601029601
31364,2,588.4319600499376
31364,3,565.9933407325194
31364,4,569.3518518518518
31364,5,503.93454179254786
31364,6,358.20671378091873
31364,7,168.36554132712456
31365,1,664.5
31365,2,221.64467005076142
31365,3,247.54929577464787
31365,4,303.35555555555555
31365,7,1156.5
31367,1,67.74068322981367
31367,2,38.807720861172974
31367,3,78.62479608482872
31367,4,102.92903225806451
31367,5,26.80821917808219
31367,6,49.88301119023398
31367,7,113.37279596977329
31370,1,311.4110535405872
31370,2,200.48640915593705
31370,3,181.06872852233678
31370,4,344.83277027027026
31370,5,156.69387755102042
31370,6,153.0561097256858
31370,7,53.15384615384615
31371,1,693.2145695364238
31371,2,408
31371,3,657.8333333333334
31371,4,338.6818727490996
31371,5,267.6137689614936
31371,6,586.7164750957854
31371,7,73.2089552238806
31372,1,145.44305555555556
31372,2,147.1236111111111
31372,3,128.29305555555555
31372,4,148.71805555555557
31372,5,187.63927855711424
31372,6,171.8179104477612
31372,7,241.36625514403292
31373,1,198.59630200308166
31373,2,285.70751445086705
31373,3,357.62602965403624
31373,4,342.29919137466305
31373,5,244.4845869297164
31373,6,197.50217864923746
31373,7,901.8
