seqn,grand_avg
31128,316.3392891316628
31129,426.0114553367076
31131,289.85376325801707
31132,432.64185697313354
31133,230.04394350066022
31134,318.82753980928277
31137,340.1225246323525
31139,168.74357939913526
31140,622.406462986871
31141,289.9454644863638
31142,447.0891991745269
31143,393.35573666706466
31144,377.64559162981465
31145,635.1923452199849
31146,474.6214261992837
31147,501.4354196135592
31148,261.4112523491141
31149,162.5935457601737
31150,243.41624378355226
31151,219.43369717813158
31152,269.1540043550743
31153,199.7934868571447
31155,347.31200352873276
31156,236.17680932244102
31157,448.6044382386022
31158,265.5047959812378
31159,133.82623630273093
31160,1627.5249612845544
31161,652.279839207645
31162,130.9129223741483
31164,360.97010588001973
31166,159.31206675989324
31167,526.1109474835619
31170,258.9438898223355
31171,601.5837844168728
31172,175.98579942499805
31173,499.2939264178036
31174,781.1670097246009
31177,218.49181733786963
31178,998.5496386071619
31179,106.59077489356454
31183,326.19585730858176
31186,466.37536678049474
31187,378.1362980745969
31189,613.068523310063
31191,126.9627215023237
31194,265.83113359723274
31195,363.8567080706105
31196,252.7940942998836
31199,705.6056048496195
31201,347.24520542561294
31204,484.5578644462434
31206,609.4549985556621
31207,181.68406589373015
31208,97.29984813190829
31212,57.65356384670723
31213,119.00094973356516
31214,101.49555450290138
31215,411.3866928474947
31218,593.6438143437658
31219,641.0211021901223
31220,272.2084181105739
31221,647.7814712155908
31223,450.4772044723431
31224,486.23418827062045
31225,981.6254951895869
31226,811.9429190119771
31227,254.1335997678184
31228,941.7252994591269
31231,182.50238133495054
31232,231.8131802558594
31235,405.1364256031407
31237,599.3699211425139
31238,752.4594093959255
31239,209.6154438653079
31241,434.00932051043316
31242,175.62026128116253
31244,627.2295637000393
31245,188.78384215139653
31246,329.88350571397336
31248,744.0356006342213
31250,287.61219098587316
31252,244.75905489851243
31255,494.979977101018
31258,457.135415399944
31259,340.28690620335567
31261,382.74526909491897
31262,432.64810996095423
31264,291.8614026336817
31265,360.4818770142694
31266,63.930166694719006
31267,418.5255318713797
31268,336.4622847685982
31269,785.5509641873278
31270,559.6096831530929
31271,658.0140237756714
31272,627.5878622922178
31273,285.62155595211937
31274,186.6831145566849
31275,224.79759839606612
31276,49.64506796178325
31277,298.30209182670893
31278,204.06483102281368
31279,376.43843470204126
31284,78.42266434117826
31285,297.2349264643696
31286,642.4676845213377
31288,333.7153986870738
31289,351.41506096442384
31290,456.8598092779488
31291,319.8821029008951
31292,449.8666017689304
31293,458.6221186844741
31295,294.84539307358585
31297,71.08673519396544
31298,169.57768678994967
31299,341.79313522552553
31300,345.418229295557
31303,323.7788847467422
31304,286.4400054991901
31305,334.88252901317804
31309,208.78764709718678
31310,262.56625488782464
31311,391.33145172983893
31312,487.1462301446962
31313,108.0814778466131
31314,344.0997595108768
31316,849.20276358852
31317,354.1283574329616
31318,855.4215255676979
31319,1075.059619374519
31320,350.5147079056794
31321,123.84907050270618
31324,577.0869869249694
31325,202.79662798265156
31328,753.657290066938
31329,382.39702459423853
31330,363.24904148053184
31331,763.8894213923256
31332,192.77188380298554
31333,487.6555606399454
31334,148.33025240826896
31336,244.02172369581197
31337,364.17700651148243
31339,118.28510985369498
31341,367.35163607619177
31342,611.2929563809705
31343,100.4664677221467
31344,321.84117298401844
31345,244.17806338840464
31346,311.33245855671953
31348,273.4547306273256
31350,236.58201350282232
31351,910.0357349938325
31352,276.99459136088876
31353,3144
31358,197.58000386580238
31360,327.65278511436543
31361,37.82149134248147
31362,506.3580631492675
31364,533.0552728054085
31365,518.709904276193
31367,68.30946553885276
31370,200.10039927424052
31371,432.1812821285738
31372,167.20017456095516
31373,361.14511472308595
31375,741.1850010808909
31376,529.87590106849
31378,261.20643284018246
31379,59.13977210230477
31380,272.88939986482814
31381,255.5639996377787
31382,237.80287883567414
31383,293.78401997021507
31384,362.0404763949018
31385,606.1610156808226
31386,265.8268372330855
31387,199.7491541629891
31388,219.84371047889562
31389,583.6373210144712
31391,312.2762064568333
31395,325.74546681447293
31396,403.4744213119073
31397,443.3869753493743
31398,744.4047177658176
31399,203.4036178512434
31400,41.09972944004314
31402,372.27384919005164
31403,287.9487851685784
31406,418.9648422526906
31407,183.81505394600327
31409,879.9155348739203
31413,470.14218695832693
31416,343.5115688766368
31417,281.7362081328727
31418,308.94989445759444
31420,767.5980866442083
31423,194.62208936282605
31425,234.3607280481703
31426,261.97782139384844
31427,601.6820991822201
31428,281.4591566191261
31429,353.6464307987928
31430,274.98474446987035
31431,64.53140079365079
31432,427.2763498748677
31434,260.55029497956997
31435,324.51732107576083
31439,270.430866356554
31442,190.06596663717198
31443,176.35724088109427
31446,480.98021616632855
31447,126.8211328113727
31451,111.23038649321299
31452,520.5522718627955
31453,356.3078143047474
31454,254.2060033285948
31456,580.8796590195859
31457,214.87597735484084
31458,563.6298635413065
31460,305.1129925700681
31463,254.90758894409575
31464,234.57885750084884
31465,612.1178654588472
31466,231.62892097266223
31469,90.77042787554531
31470,307.6732101010942
31471,871.2751721911187
31472,60.43121603182938
31474,910.7181358032227
31477,180.24865286616438
31478,734.5578746601085
31480,489.71922182922816
31482,284.55449938242464
31483,318.7046183518417
31484,1158.5214368882248
31485,611.5925315966671
31486,569.2270256227926
31487,171.6462902761624
31488,416.9463349032479
31489,890.174775308074
31491,402.5926371972544
31494,292.875
31495,573.75327431664
31496,380.67539492733084
31497,851.6344984239704
31498,302.268810273918
31499,382.9668187505196
31501,519.7539935931279
31503,370.69589074858834
31504,515.6360626425402
31505,283.7663409850563
31506,159.84347014651647
31507,787.7480186420279
31508,472.0153323954773
31509,838.8995073891625
31510,468.53044980465586
31511,1658.5596855780273
31512,385.81863841272406
31514,234.11186079122194
31515,341.9323744552738
31516,385.9214522502994
31518,199.22232843062636
31519,162.94090572820912
31520,777.0703258473014
31521,255.6719578608973
31522,346.6970962636306
31524,217.13248351605887
31525,75.41128966172482
31527,400.7256638832657
31528,1031.3206993480019
31529,267.0405934224806
31530,288.20621477049485
31531,223.3893016430537
31532,260.849865801368
31533,378.9471418513753
31534,758.8316700040202
31535,305.86816778416153
31537,337.861924699265
31539,136.58384509220022
31540,235.34405088131493
31541,394.56952791829616
31543,734.5115618500093
31544,231.9438908108925
31545,136.94430282001434
31546,50.26779943893936
31548,78.94483548381922
31549,504.77003050197527
31551,144.0672062529809
31553,459.85705322076143
31556,349.26458102022156
31558,103.17567476518946
31559,139.8566699862049
31560,442.54509924993863
31563,130.8835850516382
31565,525.0063226308843
31566,315.57174485263937
31567,255.7252389772378
31568,538.6526210561448
31569,258.3866367562983
31570,371.1416787139637
31571,391.4771907550143
31574,628.422479523465
31575,361.5774405435804
31577,364.1680483756013
31579,286.7746105312316
31580,268.77211610401287
31582,304.57023411311565
31583,407.764247191863
31585,606.9152482844754
31586,891.836501007933
31588,302.8847568671261
31589,130.77777777777777
31590,360.35582714511486
31591,268.56376873981014
31592,357.62363184096597
31593,303.55990569373483
31594,315.7352744306248
31596,446.28189480200336
31597,304.5113877649048
31599,231.24080849217893
31601,91.59001548008301
31603,185.41818311411362
31604,131.9784236591615
31605,221.67606149846446
31606,229.82945265875986
31607,453.20866354874323
31608,318.2076719830227
31609,353.1609846962013
31610,122.47126803746804
31611,666.1589529164885
31616,432.036439081208
31617,378.02835673852945
31618,798.0618822009512
31619,496.25199917863296
31620,507.63881590799366
31622,199.85728421751998
31625,475.85752957828896
31627,340.30026494125786
31629,361.23036053613816
31630,287.0927205774984
31631,670.929443053293
31633,39.03859333726925
31634,192.51535361507865
31635,183.71348691084785
31636,252.0869660406694
31638,459.2342924237994
31639,228.1025707151311
31640,259.755897629128
31641,168.2848067832005
31643,467.94730538531564
31645,518.7495191656269
31646,550.974759917762
31647,1016.801156088923
31649,501.6904347065183
31650,306.81318037852895
31651,293.2056135533042
31652,180.21760482810757
31653,295.4546697204836
31654,739.0822176104145
31655,947.6944892121223
31658,224.44095762043978
31660,327.0000807144199
31661,224.42269431313213
31664,364.48763838571773
31666,288.46326564472344
31668,670.2824637681159
31669,675.948376948383
31670,980.1059704483304
31672,193.0754970928727
31675,444.3894194630518
31677,540.5842611011577
31679,272.88994693033817
31680,312.8941242310659
31682,379.12712226048035
31684,868.7054775611143
31685,484.40390673709703
31686,273
31690,576.9008892276423
31691,466.5736357171116
31692,307.1745112346882
31694,357.58653665566453
31695,470.57406343389425
31699,460.9956138483751
31701,546.4491146551593
31702,440.39331363847117
31703,464.92224313410605
31704,378.0109331586886
31706,525.4095950687845
31707,138.38976614078672
31708,200.7169556953847
31709,549.8421898714647
31710,237.32874810281552
31711,418.03100015134845
31712,257.07017938614484
31714,406.6594579326589
31717,266.4678004570677
31718,111.8605408734931
31720,145.33901730349703
31721,433.6969442503876
31722,622.7883352401225
31724,220.65130318558775
31725,231.7291914917798
31728,1064.705955135571
31729,169.0817199866529
31730,587.0259501631283
31731,413.34065676700925
31732,467.05731532604636
31734,248.0452632502674
31736,35.49650860267205
31737,234.24596154425097
31739,363.6405343169639
31740,116.02807486631016
31741,253.32223844013086
31742,312.79072199066894
31743,432.01019374995093
31744,129.3264611758887
31745,836.2639202128167
31747,261.4432725204462
31748,213.42953920938874
31749,654.4657195163766
31750,224.90262763568637
31751,226.76033572625062
31753,577.9436238192183
31754,682.9147357824842
31756,232.62460082741964
31757,321.80239464504893
31762,174.46186700433054
31764,311.52193502255625
31765,313.54906785598314
31766,705.9212754894136
31767,455.32746857526485
31768,368.26260562342145
31769,446.89214257896185
31771,440.5955034609561
31772,373.8321857535906
